Name,"Modified Time","Change Time","Access Time","Created Time",Size,"Flags(Dir)","Flags(Meta)",Known,Location,"MD5 Hash","SHA-256 Hash","MIME Type",Extension
"GetStartedAppList.targetsize-64_altform-unplated.png","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.Getstarted_8.2.22942.0_x64__8wekyb3d8bbwe/Assets/GetStartedAppList.targetsize-64_altform-unplated.png",,,application/octet-stream,png
"Microsoft.HEIFImageExtension_1.0.22742.0_x64__8wekyb3d8bbwe","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.HEIFImageExtension_1.0.22742.0_x64__8wekyb3d8bbwe",,,application/octet-stream,
fi-FI,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.Microsoft3DViewer_6.1908.2042.0_x64__8wekyb3d8bbwe/Common.View.UWP/Strings/fi-FI",,,application/octet-stream,
lv-LV,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.Microsoft3DViewer_6.1908.2042.0_x64__8wekyb3d8bbwe/Common.View.UWP/Strings/lv-LV",,,application/octet-stream,
FileSway32x32.png,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.MicrosoftOfficeHub_18.1903.1152.0_x64__8wekyb3d8bbwe/images/FileSway32x32.png",,,application/octet-stream,png
"Microsoft.MicrosoftSolitaireCollection_4.4.8204.0_neutral_~_8wekyb3d8bbwe","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.MicrosoftSolitaireCollection_4.4.8204.0_neutral_~_8wekyb3d8bbwe",,,application/octet-stream,
"Microsoft.MicrosoftStickyNotes_3.6.73.0_neutral_split.scale-125_8wekyb3d8bbwe","2019-12-07 10:56:56 CET","2026-02-21 15:42:00 CET","2026-02-21 23:32:38 CET","2019-12-07 10:56:56 CET",56,Unallocated,Allocated,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.MicrosoftStickyNotes_3.6.73.0_neutral_split.scale-125_8wekyb3d8bbwe",,,,
"Preview.scale-200_layoutdir-LTR.png","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.MicrosoftStickyNotes_3.6.73.0_x64__8wekyb3d8bbwe/Assets/Preview.scale-200_layoutdir-LTR.png",,,application/octet-stream,png
"Microsoft.MixedReality.Portal_2000.19081.1301.0_neutral_split.scale-125_8wekyb3d8bbwe","2019-12-07 10:59:04 CET","2026-02-21 15:41:58 CET","2026-02-21 23:32:39 CET","2019-12-07 10:59:04 CET",56,Unallocated,Allocated,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.MixedReality.Portal_2000.19081.1301.0_neutral_split.scale-125_8wekyb3d8bbwe",,,,
"AppList.targetsize-30_altform-unplated.png","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.HEIFImageExtension_1.0.22742.0_x64__8wekyb3d8bbwe/Assets/AppList.targetsize-30_altform-unplated.png",,,application/octet-stream,png
"AppList.targetsize-72_altform-unplated.png","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.HEIFImageExtension_1.0.22742.0_x64__8wekyb3d8bbwe/Assets/AppList.targetsize-72_altform-unplated.png",,,application/octet-stream,png
"AppList.targetsize-256_altform-unplated_contrast-black.png","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.HEIFImageExtension_1.0.22742.0_x64__8wekyb3d8bbwe/Assets/contrast-black/AppList.targetsize-256_altform-unplated_contrast-black.png",,,application/octet-stream,png
"AppList.targetsize-48_contrast-black.png","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.HEIFImageExtension_1.0.22742.0_x64__8wekyb3d8bbwe/Assets/contrast-black/AppList.targetsize-48_contrast-black.png",,,application/octet-stream,png
"BadgeLogo.scale-100_contrast-black.png","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.HEIFImageExtension_1.0.22742.0_x64__8wekyb3d8bbwe/Assets/contrast-black/BadgeLogo.scale-100_contrast-black.png",,,application/octet-stream,png
"MedTile.scale-200_contrast-black.png","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.HEIFImageExtension_1.0.22742.0_x64__8wekyb3d8bbwe/Assets/contrast-black/MedTile.scale-200_contrast-black.png",,,application/octet-stream,png
"AppList.targetsize-256_altform-unplated_contrast-white.png","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.HEIFImageExtension_1.0.22742.0_x64__8wekyb3d8bbwe/Assets/contrast-white/AppList.targetsize-256_altform-unplated_contrast-white.png",,,application/octet-stream,png
"AppList.targetsize-48_contrast-white.png","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.HEIFImageExtension_1.0.22742.0_x64__8wekyb3d8bbwe/Assets/contrast-white/AppList.targetsize-48_contrast-white.png",,,application/octet-stream,png
"BadgeLogo.scale-100_contrast-white.png","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.HEIFImageExtension_1.0.22742.0_x64__8wekyb3d8bbwe/Assets/contrast-white/BadgeLogo.scale-100_contrast-white.png",,,application/octet-stream,png
"MedTile.scale-200_contrast-white.png","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.HEIFImageExtension_1.0.22742.0_x64__8wekyb3d8bbwe/Assets/contrast-white/MedTile.scale-200_contrast-white.png",,,application/octet-stream,png
LargeTile.scale-150.png,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_pc_EmployeA.vhd/Program Files/WindowsApps/Microsoft.HEIFImageExtension_1.0.22742.0_x64__8wekyb3d8bbwe/Assets/LargeTile.scale-150.png",,,application/octet-stream,png
